index,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Current_Role,Did you switch careers into Data?,Current Salary(USD),Industry,Programming_Language,Happiness_Index(Salary),Happiness_Index(Work/Life Balance),Happiness_Index(Coworkers),Happiness_Index(Management),Happiness_Index(Upward Mobility),Happiness_Index(Learning New Things),How difficult was it for you to break into Data?,"If you were to look for a new job today, what would be the most important thing to you?",Gender,Country,Education,Ethnicity,Salary,Age_group
220,6/10/2022,12:55,0:01:25,Data Architect,Yes,66k-85k,Poultry,Python,Very happy,Very happy,Extremely happy,Overjoyed,Ecstatic,10.0,Neither easy nor difficult,Remote Work,Male,United States,High School,White or Caucasian,75.5,26-30
221,6/10/2022,12:57,0:03:54,Data Analyst,Yes,0-40k,Telecommunication,R,Unhappy,Extremely happy,Very happy,Happy,Somewhat happy,6.0,Neither easy nor difficult,Good Work/Life Balance,Male,Peru,Bachelors,Hispanic or Latino,20.0,41-45
222,6/10/2022,12:58,0:01:54,Data Integrity,No,0-40k,Renewable Resources,R,Very unhappy,Very happy,Very happy,Very unhappy,Neutral,10.0,Neither easy nor difficult,Better Salary,Male,United States,Associates,White or Caucasian,20.0,21-25
223,6/10/2022,13:07,0:03:34,Data Analyst,Yes,0-40k,Finance,Python,Neutral,Very happy,Extremely happy,Very happy,Extremely happy,8.0,Difficult,Better Salary,Male,Nigeria,Bachelors,Black or African American,20.0,31-35
224,6/10/2022,13:08,0:01:27,Data Analyst,No,0-40k,Healthcare,Python,Extremely unhappy,Ecstatic,Ecstatic,Ecstatic,Ecstatic,10.0,Difficult,Better Salary,Male,Philippines,Bachelors,Native Hawaiian or other Pacific Islander,20.0,21-25
225,6/10/2022,13:08,0:01:51,Data Analyst,No,66k-85k,Finance,Python,Somewhat unhappy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat unhappy,3.0,Very Difficult,Better Salary,Male,United States,Masters,Hispanic or Latino,75.5,26-30
226,6/10/2022,13:09,0:02:04,Data Scientist,Yes,0-40k,Tech,Python,Neutral,Neutral,Neutral,Extremely unhappy,Extremely unhappy,6.0,Difficult,Good Culture,Male,Malaysia,Bachelors,Indian,20.0,21-25
227,6/10/2022,13:12,0:01:25,Student/Looking/None,No,0-40k,Customer service ,Other:Just started learning ,Extremely unhappy,Extremely unhappy,Very unhappy,Very unhappy,Extremely unhappy,1.0,Neither easy nor difficult,Remote Work,Female,United States,High School,Hispanic or Latino,20.0,21-25
228,6/10/2022,13:13,0:02:09,Data Analyst,Yes,66k-85k, Manufacturering ,Python,Somewhat happy,Overjoyed,Ecstatic,Ecstatic,Somewhat happy,10.0,Neither easy nor difficult,Better Salary,Male,United States,Bachelors,Black or African American,75.5,26-30
229,6/10/2022,13:16,0:01:30,Student/Looking/None,Yes,0-40k,Finance,Python,Neutral,Somewhat unhappy,Somewhat happy,Unhappy,Unhappy,3.0,Difficult,Good Culture,Male,India,Bachelors,Asian or Asian American,20.0,31-35
230,6/10/2022,13:20,0:01:31,Data Analyst,Yes,0-40k,sports,Python,Very unhappy,Very unhappy,Very unhappy,Very unhappy,Very happy,9.0,Neither easy nor difficult,Remote Work,Male,Nigeria,Bachelors,Black or African American,20.0,21-25
231,6/10/2022,13:29,0:02:32,Data Analyst,Yes,66k-85k,fashion/online store,Python,Very happy,Extremely happy,Ecstatic,Extremely happy,Very happy,5.0,Neither easy nor difficult,Remote Work,Male,Germany,Bachelors,White or Caucasian,75.5,31-35
232,6/10/2022,13:31,0:01:21,Student/Looking/None,Yes,0-40k,Tech,Python,Extremely unhappy,Neutral,Extremely unhappy,Extremely unhappy,Neutral,5.0,Neither easy nor difficult,Better Salary,Male,United States,Masters,Asian or Asian American,20.0,26-30
233,6/10/2022,13:32,0:01:32,Student/Looking/None,No,0-40k,I am a student,Python,Very unhappy,Very unhappy,Unhappy,Very unhappy,Very unhappy,1.0,Difficult,Better Salary,Female,United States,Bachelors,Asian or Asian American,20.0,21-25
234,6/10/2022,13:37,0:24:18,Data Analyst,Yes,0-40k,Healthcare,Python,Neutral,Ecstatic,Ecstatic,Extremely happy,Extremely happy,10.0,Easy,Good Work/Life Balance,Male,Colombia,Masters,Hispanic or Latino,20.0,26-30
235,6/10/2022,13:39,0:01:44,Data Analyst,Yes,41k-65k,Healthcare,R,Extremely unhappy,Happy,Somewhat happy,Happy,Extremely unhappy,2.0,Easy,Opportunities for growth ,Male,United States,Masters,Hispanic or Latino,53.0,26-30
236,6/10/2022,13:40,0:01:37,Data Analyst,No,125k-150k,Finance,Python,Happy,Happy,Somewhat happy,Neutral,Unhappy,4.0,Easy,Remote Work,Male,United States,Bachelors,White or Caucasian,137.5,26-30
237,6/10/2022,13:51,0:01:40,Data Scientist,Yes,125k-150k,Retail,Python,Happy,Very happy,Very happy,Ecstatic,Happy,7.0,Neither easy nor difficult,Remote Work,Female,United States,Masters,White or Caucasian,137.5,31-35
238,6/10/2022,13:52,0:02:41,Data Analyst,Yes,0-40k,Marketing ,SQL,Somewhat unhappy,Somewhat happy,Happy,Neutral,Happy,6.0,Neither easy nor difficult,Better Salary,Female,Poland,PhD,White or Caucasian,20.0,36-40
239,6/10/2022,13:54,0:02:38,Data Engineer,Yes,0-40k,Manufacturing,Python,Neutral,Very happy,Very happy,Happy,Extremely happy,7.0,Neither easy nor difficult,Better Salary,Male,Singapore,Associates,Asian or Asian American,20.0,36-40
240,6/10/2022,13:54,0:01:29,Data Analyst,Yes,66k-85k,Finance,Python,Happy,Ecstatic,Overjoyed,Overjoyed,Overjoyed,10.0,Difficult,Better Salary,Male,United States,Bachelors,Hispanic or Latino,75.5,31-35
241,6/10/2022,13:56,0:00:59,Data Analyst,Yes,66k-85k,Tech,Python,Somewhat unhappy,Neutral,Neutral,Neutral,Somewhat happy,5.0,Very Difficult,Good Work/Life Balance,Male,United States,Masters,Asian or Asian American,75.5,26-30
242,6/10/2022,13:56,0:04:08,Data Analyst,No,41k-65k,Finance,Python,Happy,Somewhat happy,Overjoyed,Overjoyed,Very happy,5.0,Neither easy nor difficult,"I just started and I don't like programming so much, so I would search for a more ""impactiful"" role. Meaning: being able to take decisions that steer the business.",Female,Germany,Masters,Hispanic or Latino,53.0,21-25
243,6/10/2022,13:56,0:02:05,Database Developer,Yes,41k-65k,Hospitality ,Python,Happy,Extremely happy,Extremely happy,Overjoyed,Happy,8.0,Difficult,Remote Work,Male,United States,Bachelors,White or Caucasian,53.0,26-30
244,6/10/2022,14:01,0:02:04,Data Analyst,No,86k-105k,Agriculture,Python,Very happy,Happy,Very happy,Neutral,Somewhat happy,8.0,Difficult,Good Work/Life Balance,Male,United States,Bachelors,Black or African American,95.5,26-30
245,6/10/2022,14:01,0:02:02,Data Analyst,No,0-40k,Marketing,R,Very unhappy,Very unhappy,Very unhappy,Very unhappy,Very unhappy,1.0,Neither easy nor difficult,Remote Work,Male,Ghana,Bachelors,Black or African American,20.0,31-35
246,6/10/2022,14:02,0:01:27,Data Analyst,Yes,0-40k,Finance,Python,Somewhat happy,Unhappy,Somewhat happy,Neutral,Somewhat unhappy,5.0,Neither easy nor difficult,Good Work/Life Balance,Male,Egypt,Bachelors,White or Caucasian,20.0,26-30
247,6/10/2022,14:05,0:02:11,Data Analyst,No,0-40k,Tech,Python,Somewhat unhappy,Somewhat unhappy,Somewhat happy,Neutral,Somewhat unhappy,2.0,Difficult,Good opportunities in projects and learnjng,Female,India,Bachelors,Asian or Asian American,20.0,21-25
248,6/10/2022,14:09,0:01:40,Student/Looking/None,Yes,0-40k,Construction,Python,Extremely unhappy,Unhappy,Extremely unhappy,Very unhappy,Very unhappy,2.0,Very Difficult,Remote Work,Female,Kenya,Bachelors,Black or African American,20.0,21-25
249,6/10/2022,14:12,0:03:09,Data Analyst,No,0-40k,Medical industry ,Python,Somewhat unhappy,Happy,Happy,Happy,Neutral,3.0,Neither easy nor difficult,Better Salary,Male,Costa Rica,Bachelors,Hispanic or Latino,20.0,26-30
250,6/10/2022,14:12,0:03:13,Data Architect,Yes,0-40k,Finance,Python,Somewhat happy,Happy,Unhappy,Somewhat unhappy,Somewhat unhappy,5.0,Very Difficult,Good Work/Life Balance,Female,Portugsl,Masters,White or Caucasian,20.0,31-35
251,6/10/2022,14:13,0:02:27,Data Analyst,No,0-40k,Tech,Python,Somewhat unhappy,Somewhat happy,Neutral,Somewhat happy,Neutral,2.0,Neither easy nor difficult,Better Salary,Male,India,Bachelors,Asian or Asian American,20.0,26-30
252,6/10/2022,14:14,0:01:27,Data Scientist,No,0-40k,Tech,R,Unhappy,Very happy,Very happy,Very happy,Very happy,7.0,Easy,Better Salary,Male,Nigeria,Bachelors,Black or African American,20.0,21-25
253,6/10/2022,14:14,0:02:47,Financial Analyst,No,0-40k,Management,Python,Unhappy,Neutral,Somewhat happy,Somewhat unhappy,Very unhappy,1.0,Neither easy nor difficult,Good Work/Life Balance,Female,Macedonia,Masters,White or Caucasian,20.0,31-35
254,6/10/2022,14:15,0:01:43,Data Analyst,No,41k-65k,Education,Python,Very happy,Very happy,Extremely happy,Extremely happy,Happy,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,United States,Bachelors,Black or African American,53.0,26-30
255,6/10/2022,14:16,0:01:42,Data Analyst,Yes,41k-65k,Warehouse,Python,Unhappy,Neutral,Very happy,Ecstatic,Somewhat happy,10.0,Neither easy nor difficult,Remote Work,Male,United States,Bachelors,White or Caucasian,53.0,26-30
256,6/10/2022,14:23,0:02:02,Database Manager,No,41k-65k,Non profit Animal Welfare,Python,Very unhappy,Somewhat happy,Somewhat happy,Very unhappy,Extremely unhappy,3.0,Easy,Better Salary,Female,United States,Bachelors,White or Caucasian,53.0,31-35
257,6/10/2022,14:25,0:01:57,Data Analyst,Yes,66k-85k,Consulting,SQL,Very happy,Happy,Somewhat happy,Very happy,Neutral,4.0,Easy,Better Salary,Female,United States,Bachelors,White or Caucasian,75.5,56-60
258,6/10/2022,14:31,0:04:30,Software Developer,No,0-40k,Insurance ,Python,Somewhat unhappy,Somewhat unhappy,Happy,Somewhat happy,Neutral,4.0,Difficult,Good Work/Life Balance,Male,India,Bachelors,Asian or Asian American,20.0,21-25
259,6/10/2022,14:41,0:01:16,Data Scientist,Yes,125k-150k,Healthcare,Python,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,5.0,Difficult,Better Salary,Male,United States,Masters,White or Caucasian,137.5,26-30
260,6/10/2022,14:42,0:01:44,Student/Looking/None,No,0-40k,none,JavaScript,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,10.0,Neither easy nor difficult,Remote Work,Male,Egypt,High School,White or Caucasian,20.0,21-25
261,6/10/2022,14:43,0:02:14,Student/Looking/None,No,66k-85k,Social work ,Python,Unhappy,Unhappy,Neutral,Very unhappy,Unhappy,1.0,Neither easy nor difficult,Good Work/Life Balance,Male,United States,Masters,Black or African American,75.5,31-35
262,6/10/2022,14:43,0:01:25,Data Analyst,No,41k-65k,Healthcare,Python,Very happy,Somewhat happy,Overjoyed,Overjoyed,Overjoyed,8.0,Neither easy nor difficult,Remote Work,Male,Ireland,Masters,Asian or Asian American,53.0,26-30
263,6/10/2022,14:47,0:01:18,Data Analyst,No,86k-105k,Tech,Python,Overjoyed,Ecstatic,Extremely happy,Extremely happy,Very happy,7.0,Neither easy nor difficult,Projects I’m interested in,Female,United States,Bachelors,Asian or Asian American,95.5,21-25
264,6/10/2022,14:48,0:03:06,Tableau Administrator,No,41k-65k,Finance,Python,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Extremely unhappy,Extremely unhappy,1.0,Difficult,Good Work/Life Balance,Male,India,Bachelors,Asian or Asian American,53.0,21-25
265,6/10/2022,14:51,0:01:36,Data Engineer,Yes,86k-105k,E-commerce,Python,Extremely happy,Very happy,Ecstatic,Overjoyed,Ecstatic,10.0,Easy,Better Salary,Male,United States,Masters,White or Caucasian,95.5,26-30
266,6/10/2022,14:53,0:01:54,Data Analyst,No,0-40k,Tech,Python,Somewhat unhappy,Extremely happy,Very happy,Somewhat happy,Extremely happy,7.0,Neither easy nor difficult,Better Salary,Male,India,Bachelors,Indian,20.0,21-25
267,6/10/2022,14:58,0:02:02,Data Analyst,Yes,0-40k,IT,Python,Happy,Somewhat unhappy,Somewhat happy,Very happy,Somewhat happy,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,India,Bachelors,Asian or Asian American,20.0,21-25
268,6/10/2022,15:01,0:01:41,Other,No,106k-125k,Other (Please Specify),Java,Very happy,Very happy,Neutral,Somewhat happy,Somewhat happy,4.0,Neither easy nor difficult,Better Salary,Male,United States,Masters,Asian or Asian American,115.5,41-45
269,6/10/2022,15:03,0:05:13,Reporting Administrator,Yes,0-40k,Tech,Python,Somewhat unhappy,Somewhat happy,Extremely happy,Neutral,Somewhat happy,5.0,Difficult,Better Salary,Female,United States,Bachelors,Asian or Asian American,20.0,31-35
270,6/10/2022,15:10,0:01:06,Student/Looking/None,Yes,66k-85k,Healthcare,Other,Neutral,Neutral,Neutral,Neutral,Neutral,0.0,Difficult,Good Work/Life Balance,Female,United States,Masters,Asian or Asian American,75.5,41-45
271,6/10/2022,15:11,0:01:40,Billing Analyst,No,66k-85k,Legal,Python,Neutral,Happy,Unhappy,Somewhat unhappy,Somewhat unhappy,2.0,Very Difficult,Remote Work,Male,United States,Bachelors,Hispanic or Latino,75.5,31-35
272,6/10/2022,15:14,0:01:20,Data Engineer,No,0-40k,Media & advertising ,Python,Extremely unhappy,Ecstatic,Ecstatic,Somewhat happy,Extremely unhappy,3.0,Neither easy nor difficult,Better Salary,Male,United Kingdom,Bachelors,White or Caucasian,20.0,21-25
273,6/10/2022,15:14,0:01:49,Data Analyst,No,41k-65k,Agriculture,SQL,Somewhat unhappy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat unhappy,2.0,Neither easy nor difficult,Better Salary,Female,United States,Masters,Asian or Asian American,53.0,21-25
274,6/10/2022,15:14,0:01:27,Data Analyst,Yes,106k-125k,Aviation,SAS,Overjoyed,Overjoyed,Overjoyed,Happy,Overjoyed,8.0,Difficult,Good Work/Life Balance,Male,United States,Masters,Asian or Asian American,115.5,31-35
275,6/10/2022,15:23,0:01:23,Data Scientist,Yes,0-40k,Education,Python,Somewhat unhappy,Somewhat unhappy,Very unhappy,Very unhappy,Very unhappy,6.0,Difficult,Better Salary,Male,Morocco,Masters,White or Caucasian,20.0,36-40
276,6/10/2022,15:25,0:02:24,Data Scientist,No,41k-65k,Healthcare,Python,Happy,Extremely happy,Extremely happy,Extremely happy,Extremely happy,10.0,Neither easy nor difficult,Good Work/Life Balance,Female,Bulgaria,Masters,White or Caucasian,53.0,31-35
277,6/10/2022,15:27,0:01:40,Data Analyst,Yes,66k-85k,Utilities,R,Happy,Ecstatic,Ecstatic,Ecstatic,Overjoyed,8.0,Easy,Remote Work,Male,United States,Bachelors,White or Caucasian,75.5,26-30
278,6/10/2022,15:28,0:01:55,Data Analyst,No,0-40k,Audit Firm,Python,Extremely happy,Extremely happy,Overjoyed,Overjoyed,Extremely happy,7.0,Neither easy nor difficult,Better Salary,Male,Peru,Bachelors,Hispanic or Latino,20.0,26-30
279,6/10/2022,15:30,0:01:23,Data Analyst,Yes,0-40k,Sports,Python,Very happy,Neutral,Very happy,Neutral,Extremely happy,10.0,Easy,Good Work/Life Balance,Male,Costa Rica,Bachelors,Hispanic or Latino,20.0,21-25
280,6/10/2022,15:39,0:01:59,Data Analyst,No,0-40k,E-commerce,Python,Happy,Happy,Ecstatic,Extremely happy,Happy,8.0,Neither easy nor difficult,Better Salary,Male,Poland,Bachelors,White or Caucasian,20.0,21-25
281,6/10/2022,15:41,0:01:10,Marketing Data Specialist,No,41k-65k,Sports/Marketing,R,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,5.0,Difficult,Good Work/Life Balance,Male,United States,Masters,White or Caucasian,53.0,21-25
282,6/10/2022,15:51,0:03:49,Data Analyst,Yes,41k-65k,Healthcare,None,Very happy,Extremely happy,Extremely happy,Neutral,Happy,8.0,Neither easy nor difficult,Good Culture,Male,Germany,High School,White or Caucasian,53.0,36-40
283,6/10/2022,15:55,0:01:47,Data Analyst,Yes,0-40k,Education,Python,Extremely unhappy,Extremely unhappy,Somewhat happy,Extremely unhappy,Extremely unhappy,0.0,Difficult,Good Culture,Male,Kenya,Bachelors,Black or African American,20.0,26-30
284,6/10/2022,15:57,0:02:55,Data Analyst,Yes,86k-105k,Consulting,None,Neutral,Neutral,Unhappy,Unhappy,Unhappy,2.0,Easy,Remote Work,Female,Canada,Bachelors,Black or African American,95.5,31-35
285,6/10/2022,16:03,0:01:45,Data Analyst,Yes,66k-85k,Nonprofit,Python,Overjoyed,Ecstatic,Ecstatic,Overjoyed,Extremely happy,10.0,Difficult,Better Salary,Female,United States,Bachelors,White or Caucasian,75.5,31-35
286,6/10/2022,16:09,0:03:52,Data Analyst,Yes,41k-65k,Tech,Python,Neutral,Overjoyed,Extremely happy,Extremely happy,Happy,10.0,Neither easy nor difficult,Better Salary,Female,Canada,Masters,Black or African American,53.0,31-35
287,6/10/2022,16:22,0:00:59,Student/Looking/None,Yes,0-40k,Tech,Python,Unhappy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,5.0,Very Difficult,Remote Work,Male,United States,Bachelors,Asian or Asian American,20.0,21-25
288,6/10/2022,16:26,0:01:26,Data Analyst,Yes,41k-65k,Healthcare,Excel,Somewhat unhappy,Ecstatic,Overjoyed,Ecstatic,Somewhat happy,0.0,Neither easy nor difficult,Better Salary,Female,United States,Bachelors,Asian or Asian American,53.0,21-25
289,6/10/2022,16:30,0:01:54,Data Analyst,Yes,0-40k,Tech,Python,Neutral,Neutral,Neutral,Somewhat happy,Unhappy,1.0,Difficult,Better Salary,Male,Iran,Masters,White or Caucasian,20.0,26-30
290,6/10/2022,16:33,0:02:16,Analytics Engineer,Yes,41k-65k,Healthcare,R,Somewhat happy,Very happy,Overjoyed,Extremely happy,Extremely happy,8.0,Neither easy nor difficult,Better Salary,Female,United States,Masters,Black or African American,53.0,26-30
291,6/10/2022,16:36,0:01:45,Data Analyst,Yes,0-40k,Tech,R,Somewhat unhappy,Neutral,Neutral,Neutral,Neutral,2.0,Easy,Better Salary,Male,India,Masters,Asian or Asian American,20.0,31-35
292,6/10/2022,16:38,0:01:33,Student/Looking/None,No,0-40k,Real Estate,R,Extremely unhappy,Somewhat happy,Extremely unhappy,Extremely unhappy,Extremely unhappy,0.0,Very Difficult,Remote Work,Male,South Africa,High School,Black or African American,20.0,31-35
293,6/10/2022,16:40,0:02:04,Data Analyst,Yes,0-40k,Tech,Python,Somewhat unhappy,Unhappy,Neutral,Somewhat unhappy,Very happy,8.0,Easy,Good Work/Life Balance,Male,Bangladesh,Bachelors,Asian,20.0,26-30
294,6/10/2022,16:44,0:01:34,Data Scientist,No,86k-105k,Healthcare,Python,Neutral,Happy,Somewhat happy,Happy,Happy,4.0,Neither easy nor difficult,Remote Work,Female,United States,Bachelors,White or Caucasian,95.5,26-30
295,6/10/2022,16:49,0:02:55,Continuous Quality Improvement Specialist,Yes,41k-65k,Law Enforcement,DAX,Somewhat unhappy,Happy,Overjoyed,Happy,Somewhat happy,10.0,Difficult,Mentorship from leading Data Analyst,Male,United States,Masters,Black or African American,53.0,26-30
296,6/10/2022,16:52,0:01:42,Data Analyst,Yes,66k-85k,last mile delivery logistics,Python,Extremely happy,Somewhat happy,Overjoyed,Happy,Happy,10.0,Neither easy nor difficult,Remote Work,Male,United States,Bachelors,White or Caucasian,75.5,26-30
297,6/10/2022,16:53,0:03:01,Student/Looking/None,Yes,0-40k,Tech,Python,Neutral,Somewhat happy,Neutral,Neutral,Somewhat unhappy,4.0,Very Difficult,Better Salary,Female,United States,Masters,Asian or Asian American,20.0,26-30
298,6/10/2022,17:01,0:01:18,Data Analyst,Yes,41k-65k,Finance,R,Unhappy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,5.0,Easy,Better Salary,Male,United States,Bachelors,White or Caucasian,53.0,21-25
299,6/10/2022,17:06,0:02:18,Data Analyst,Yes,86k-105k,Retail,Python,Neutral,Happy,Somewhat unhappy,Neutral,Neutral,2.0,Easy,Better Salary,Female,Ireland,Masters,Indian,95.5,26-30
300,6/10/2022,17:09,0:01:18,Data Analyst,Yes,106k-125k,Manufacturing,R,Extremely happy,Extremely happy,Ecstatic,Overjoyed,Very happy,5.0,Easy,Better Salary,Male,United States,Bachelors,White or Caucasian,115.5,26-30
301,6/10/2022,17:13,0:01:02,Data Analyst,Yes,66k-85k,Finance,Python,Somewhat unhappy,Unhappy,Very unhappy,Very unhappy,Extremely unhappy,2.0,Very Difficult,Better Salary,Female,United States,Masters,Asian or Asian American,75.5,26-30
302,6/10/2022,17:40,0:01:19,Data Analyst,Yes,41k-65k,Arrosp,Python,Somewhat unhappy,Somewhat happy,Somewhat unhappy,Somewhat unhappy,Very unhappy,1.0,Neither easy nor difficult,Better Salary,Male,United Kingdom,Bachelors,White or Caucasian,53.0,26-30
303,6/10/2022,17:41,0:04:19,Data Analyst,No,0-40k,Finance,Python,Happy,Extremely happy,Very happy,Happy,Unhappy,4.0,Easy,Intresting work,Male,France,Masters,White or Caucasian,20.0,21-25
304,6/10/2022,17:47,0:01:30,Data Analyst,Yes,66k-85k,Finance,R,Somewhat happy,Very happy,Very happy,Somewhat unhappy,Very happy,9.0,Difficult,Better Salary,Female,United States,Bachelors,Asian or Asian American,75.5,26-30
305,6/10/2022,18:00,0:05:36,Data Engineer,Yes,125k-150k,Healthcare,Python,Happy,Somewhat unhappy,Overjoyed,Somewhat happy,Extremely happy,8.0,Neither easy nor difficult,Remote Work,Female,United States,Masters,White or Caucasian,137.5,36-40
306,6/10/2022,18:05,0:02:00,Other,Yes,0-40k,Demography and Social Statistics ,SQL,Extremely unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Neutral,4.0,Neither easy nor difficult,Better Salary,Female,Nigeria,High School,Black or African American,20.0,15-20
307,6/10/2022,18:12,0:02:04,Data Analyst,No,66k-85k,Education,SQL,Neutral,Happy,Very happy,Very happy,Unhappy,2.0,Neither easy nor difficult,Remote Work,Female,United States,Masters,Black or African American,75.5,41-45
308,6/10/2022,18:17,0:01:18,Data Analyst,No,86k-105k,Marketing ,Python,Somewhat happy,Somewhat unhappy,Somewhat happy,Happy,Happy,4.0,Difficult,Good Work/Life Balance,Male,Canada,Masters,Asian,95.5,26-30
309,6/10/2022,18:23,0:02:58,Data Analyst,Yes,41k-65k,Consulti,Python,Somewhat unhappy,Very happy,Very happy,Very happy,Very happy,6.0,Difficult,Good Culture,Male,Canada,Masters,Asian or Asian American,53.0,26-30
310,6/10/2022,18:30,0:04:30,Student/Looking/None,Yes,0-40k,i`m currently student,R,Unhappy,Ecstatic,Ecstatic,Ecstatic,Ecstatic,3.0,Neither easy nor difficult,Remote Work,Female,Germany,Bachelors,White or Caucasian,20.0,26-30
311,6/10/2022,18:38,0:01:57,PMO,No,41k-65k,Tech,C/C++,Very happy,Very happy,Very happy,Very happy,Very happy,7.0,Neither easy nor difficult,Better Salary,Female,Singapore,High School,Asian or Asian American,53.0,41-45
312,6/10/2022,18:40,0:02:27,Data Analyst,Yes,0-40k,Finance,Python,Extremely unhappy,Somewhat happy,Overjoyed,Overjoyed,Extremely unhappy,10.0,Neither easy nor difficult,Remote Work,Male,Antigua,Bachelors,Black or African American,20.0,26-30
313,6/10/2022,18:48,0:04:17,Student/Looking/None,No,41k-65k,Tech,SQL,Very happy,Extremely happy,Very happy,Very happy,Extremely happy,7.0,Neither easy nor difficult,"Mix of better salary, good work/life balance, remote work and good culture",Female,United States,Bachelors,Black or African American,53.0,46-50
314,6/10/2022,18:51,0:01:42,Student/Looking/None,Yes,0-40k,Finance,Python,Neutral,Neutral,Neutral,Extremely happy,Ecstatic,10.0,Easy,Remote Work,Male,Nigeria,Bachelors,Black or African American,20.0,21-25
315,6/10/2022,18:55,0:01:20,Data Analyst,Yes,0-40k,Tech,Python,Extremely unhappy,Very unhappy,Very unhappy,Very unhappy,Very unhappy,2.0,Very Difficult,Better Salary,Male,Egypt,Bachelors,African,20.0,21-25
316,6/10/2022,19:04,0:02:02,System Administrator,No,0-40k,Finance,Python,Happy,Happy,Somewhat unhappy,Very happy,Unhappy,4.0,Very Difficult,Learning opportunity,Male,Poland,Masters,White or Caucasian,20.0,31-35
317,6/10/2022,19:12,0:01:09,Data Analyst,Yes,0-40k,Finance,Python,Very unhappy,Ecstatic,Ecstatic,Somewhat happy,Somewhat unhappy,1.0,Neither easy nor difficult,Better Salary,Female,United States,Bachelors,White or Caucasian,20.0,21-25
318,6/10/2022,19:22,0:02:40,Data Analyst,No,0-40k,Finance,Python,Very unhappy,Unhappy,Ecstatic,Very unhappy,Unhappy,8.0,Difficult,Remote Work,Female,Venezuela,Bachelors,Hispanic or Latino,20.0,26-30
319,6/10/2022,19:27,0:01:11,Data Analyst,No,41k-65k,Healthcare,SQL,Somewhat unhappy,Very happy,Somewhat happy,Somewhat happy,Somewhat unhappy,3.0,Neither easy nor difficult,Better Salary,Female,United States,Bachelors,Asian or Asian American,53.0,31-35
320,6/10/2022,19:50,0:04:51,Data Analyst,No,106k-125k,Education,Python,Happy,Ecstatic,Ecstatic,Ecstatic,Very happy,6.0,Easy,Learning New Things,Male,United States,Masters,Asian or Asian American,115.5,36-40
321,6/10/2022,19:53,0:01:32,Data Analyst,Yes,41k-65k,Healthcare,Python,Neutral,Ecstatic,Overjoyed,Somewhat unhappy,Extremely unhappy,10.0,Difficult,Good Work/Life Balance,Male,United States,Bachelors,White or Caucasian,53.0,21-25
322,6/10/2022,19:59,0:03:19,Data Scientist,No,150k-225k,Other (Please Specify),Python,Extremely happy,Very happy,Extremely happy,Very happy,Very happy,8.0,Neither easy nor difficult,Good Work/Life Balance,Male,United States,Masters,White or Caucasian,187.5,36-40
323,6/10/2022,20:05,0:03:42,Data Analyst,Yes,66k-85k,Oil and gas,R,Somewhat unhappy,Unhappy,Happy,Happy,Somewhat happy,4.0,Difficult,Good Work/Life Balance,Male,United States,Masters,Half black and half white,75.5,26-30
324,6/10/2022,20:32,0:01:48,Data Analyst,Yes,41k-65k,Tech,Python,Somewhat unhappy,Somewhat happy,Happy,Happy,Happy,7.0,Difficult,Good Culture,Male,United States,Masters,Black or African American,53.0,31-35
325,6/10/2022,20:34,0:01:44,Teacher,No,41k-65k,Education,SQL,Extremely unhappy,Very unhappy,Ecstatic,Somewhat happy,Extremely unhappy,0.0,Difficult,Better Salary,Female,United States,Bachelors,White or Caucasian,53.0,41-45
326,6/10/2022,21:16,0:01:40,Data Analyst,Yes,66k-85k,Healthcare,Python,Somewhat unhappy,Somewhat happy,Neutral,Happy,Neutral,6.0,Easy,Remote Work,Male,United States,Masters,White or Caucasian,75.5,26-30
327,6/10/2022,21:23,0:01:57,Student/Looking/None,Yes,0-40k,None,Python,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,4.0,Very Difficult,Better Salary,Female,Nigeria,Bachelors,Black or African American,20.0,21-25
328,6/10/2022,21:45,1:09:45,Data Analyst,No,86k-105k,Healthcare,Python,Somewhat happy,Overjoyed,Somewhat happy,Unhappy,Somewhat happy,1.0,Difficult,Good Culture,Female,United States,Bachelors,Asian or Asian American,95.5,26-30
329,6/10/2022,21:57,0:04:54,Data Analyst,Yes,0-40k,Manuf,Python,Somewhat happy,Ecstatic,Extremely happy,Somewhat happy,Very happy,10.0,Very Difficult,Salary and expo,Male,Canada,Bachelors,Asian or Asian American,20.0,26-30
